,lower,offset,upper,mode,parent_scale_type,brightness,mean_brightness
0,dim,- 3,maj,Altered b7,harmonic_minor,[-5],-5.0
1,aug,+ 6,min,Altered b7,harmonic_minor,[-5],-5.0
2,dim,+ 1,min,Altered b7; Altered,harmonic_minor; melodic_minor,"[-5, -4]",-4.5
3,aug,+ 3,min,Altered,melodic_minor,[-4],-4.0
4,aug,+ 6,maj,Altered,melodic_minor,[-4],-4.0
5,dim,- 2,dim,Altered,melodic_minor,[-4],-4.0
6,dim,+ 1,maj,Locrian b7; Locrian,harmonic_major; major,"[-4, -3]",-3.5
7,aug,+ 3,maj,Phrygian b4,harmonic_major,[-3],-3.0
8,min,- 2,dim,Phrygian b4,harmonic_major,[-3],-3.0
9,min,+ 1,min,Phrygian b4,harmonic_major,[-3],-3.0
10,dim,+ 1,aug,Locrian b7; Locrian #6,harmonic_major; harmonic_minor,"[-4, -2]",-3.0
11,dim,- 2,min,Locrian; Locrian #6,major; harmonic_minor,"[-3, -2]",-2.5
12,dim,+ 2,dim,Aeolian b5,melodic_minor,[-2],-2.0
13,aug,- 5,dim,Phrygian b4; Phrygian #3,harmonic_major; harmonic_minor,"[-3, -1]",-2.0
14,min,+ 1,maj,Phrygian,major,[-2],-2.0
15,min,- 2,min,Phrygian; Dorian b2,major; melodic_minor,"[-2, -1]",-1.5
16,dim,- 2,maj,Aeolian b5; Dorian b5,melodic_minor; harmonic_major,"[-2, -1]",-1.5
17,maj,+ 1,maj,Phrygian #3,harmonic_minor,[-1],-1.0
18,aug,- 2,min,Phrygian #3,harmonic_minor,[-1],-1.0
19,min,+ 1,aug,Dorian b2,melodic_minor,[-1],-1.0
20,dim,+ 2,min,Dorian b5,harmonic_major,[-1],-1.0
21,maj,- 2,min,Phrygian #3; Mixolydian b2,harmonic_minor; harmonic_major,"[-1, 0]",-0.5
22,min,- 2,maj,Aeolian; Dorian,major; major,"[-1, 0]",-0.5
23,min,+ 2,dim,Aeolian; Harmonic Minor,major; harmonic_minor,"[-1, 0]",-0.5
24,min,+ 5,dim,Harmonic Minor,harmonic_minor,[0],0.0
25,min,- 4,dim,Harmonic Minor,harmonic_minor,[0],0.0
26,aug,- 5,min,Mixolydian b6,melodic_minor,[0],0.0
27,aug,- 2,maj,Mixolydian b6,melodic_minor,[0],0.0
28,aug,+ 3,dim,Altered b7; Lydian #5 #2,harmonic_minor; harmonic_major,"[-5, 5]",0.0
29,maj,+ 1,aug,Mixolydian b2,harmonic_major,[0],0.0
30,maj,+ 2,dim,Mixolydian b6; Harmonic major,melodic_minor; harmonic_major,"[0, 1]",0.5
31,min,- 1,dim,Harmonic Minor; Melodic Minor,harmonic_minor; melodic_minor,"[0, 1]",0.5
32,min,+ 2,min,Dorian; Melodic Minor,major; melodic_minor,"[0, 1]",0.5
33,maj,- 2,maj,Mixolydian b6; Mixolydian,melodic_minor; major,"[0, 1]",0.5
34,maj,+ 5,dim,Harmonic major,harmonic_major,[1],1.0
35,maj,- 4,dim,Harmonic major,harmonic_major,[1],1.0
36,min,+ 2,aug,Dorian #4,harmonic_minor,[1],1.0
37,maj,+ 2,min,Mixolydian; Ionian,major; major,"[1, 2]",1.5
38,maj,- 1,dim,Harmonic major; Ionian,harmonic_major; major,"[1, 2]",1.5
39,min,+ 2,maj,Dorian #4; Lydian b3,harmonic_minor; harmonic_major,"[1, 2]",1.5
40,min,- 1,min,Lydian b3,harmonic_major,[2],2.0
41,maj,+ 2,aug,Lydian Dominant,melodic_minor,[2],2.0
42,aug,- 1,dim,Harmonic major; Ionian #5,harmonic_major; harmonic_minor,"[1, 3]",2.0
43,maj,+ 2,maj,Lydian Dominant; Lydian,melodic_minor; major,"[2, 3]",2.5
44,aug,+ 2,min,Ionian #5,harmonic_minor,[3],3.0
45,maj,- 1,min,Lydian,major,[3],3.0
46,maj,- 1,maj,Lydian #2,harmonic_minor,[4],4.0
47,maj,+ 3,dim,Lydian #2,harmonic_minor,[4],4.0
48,aug,- 1,min,Lydian #5,melodic_minor,[4],4.0
49,aug,+ 2,maj,Lydian #5,melodic_minor,[4],4.0
50,dim,+ 4,maj,Lydian #5 #2,harmonic_major,[5],5.0
